target,channel,price_bin,weekday,hour_bucket,item,segment_checks,item_checks,segment_rate,baseline_rate,lift,lift_clipped,uplift_pp,avg_attach_sum,opportunity_score,expected_value,segment_reliable,segment_rate_ci_low,segment_rate_ci_high
pillow,non_marketplace,1-2k,Четверг,Утро (06-11),Матрас,1573,92,0.0585,0.0156,3.752,3.752,4.29,21379.21,1442679.84,1250.41,1,0.0479,0.0712
pillow,non_marketplace,1-2k,Четверг,День (12-17),Другая мебель,2762,134,0.0485,0.0223,2.172,2.172,2.62,19892.48,1438465.62,965.1,1,0.0411,0.0572
mattress,all,20-30k,Суббота,День (12-17),Кровать/каркас,442,99,0.224,0.1103,2.031,2.031,11.37,28599.77,1437634.53,6405.83,1,0.1876,0.2651
mattress,all,30-50k,Вторник,Вечер (18-23),Другая мебель,163,50,0.3067,0.0998,3.074,3.074,20.69,42096.72,1420007.77,12913.1,1,0.2411,0.3813
mattress,non_marketplace,30-50k,Четверг,День (12-17),Другая мебель,355,70,0.1972,0.0998,1.976,1.976,9.74,40953.2,1415742.02,8075.28,1,0.1591,0.2417
pillow,all,0-1k,Среда,Утро (06-11),Одеяло,89765,6031,0.0672,0.0527,1.275,1.275,1.45,1081.89,1409103.58,72.69,1,0.0656,0.0688
mattress,non_marketplace,30-50k,Суббота,Утро (06-11),Кровать/каркас,216,60,0.2778,0.1103,2.519,2.519,16.75,38914.09,1408104.25,10809.47,1,0.2223,0.341
pillow,non_marketplace,1-2k,Среда,День (12-17),Другая мебель,2416,112,0.0464,0.0223,2.076,2.076,2.4,24196.29,1404347.07,1121.68,1,0.0387,0.0555
pillow,non_marketplace,10-20k,Пятница,День (12-17),Другая мебель,1346,57,0.0423,0.0223,1.896,1.896,2.0,52072.27,1402708.37,2205.14,1,0.0328,0.0545
mattress,all,30-50k,Вторник,День (12-17),Другая мебель,365,77,0.211,0.0998,2.114,2.114,11.12,34539.31,1401319.19,7286.38,1,0.1722,0.2557
mattress,non_marketplace,20-30k,Среда,День (12-17),Кровать/каркас,277,79,0.2852,0.1103,2.587,2.587,17.49,28854.27,1398260.43,8229.2,1,0.2352,0.341
pillow,marketplace,0-1k,Суббота,Утро (06-11),Одеяло,89226,6002,0.0673,0.0527,1.277,1.277,1.46,1070.39,1393465.96,72.0,1,0.0656,0.0689
pillow,non_marketplace,0-1k,Вторник,День (12-17),Матрас,2716,136,0.0501,0.0156,3.212,3.212,3.45,14715.11,1378272.49,736.84,1,0.0425,0.0589
mattress,all,30-50k,Четверг,Утро (06-11),Кровать/каркас,203,57,0.2808,0.1103,2.547,2.547,17.05,39781.1,1377152.38,11170.06,1,0.2235,0.3462
pillow,all,5-10k,Понедельник,Вечер (18-23),Матрас,9400,198,0.0211,0.0156,1.351,1.351,0.55,26725.78,1375719.06,562.95,1,0.0184,0.0242
