target,channel_view,channel,mattress_price_bin,price_bin,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_top_3,cross_sell_support_2,cross_sell_support_3,cross_sell_rate_2,cross_sell_rate_3,cross_sell_2_expected_value,cross_sell_3_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_top_3,upsell_support_2,upsell_support_3,upsell_rate_2,upsell_rate_3,upsell_avg_sum_2,upsell_avg_sum_3,mattress_size,mattress_firmness,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_rate_3_ci_low,upsell_rate_3_ci_high
mattress,marketplace,marketplace,20-30k,20-30k,346,medium,1,Наматрасник/топпер,Наволочка,100,72,0.289,0.2081,678.38,708.42,,,,,,,,,Кровать/каркас,Наволочка,39,72,0.1127,0.2081,15350.41,3404.37,180x200,unknown,0.2438,0.3389,0.1686,0.254,0.0836,0.1504,0.1686,0.254
mattress,marketplace,marketplace,20-30k,20-30k,337,medium,1,Наволочка,Наматрасник/топпер,47,45,0.1395,0.1335,367.95,275.62,,,,,,,,,Наволочка,Простыня,47,32,0.1395,0.095,2638.27,2550.52,unknown,unknown,0.1065,0.1805,0.1013,0.174,0.1065,0.1805,0.0681,0.131
mattress,non_marketplace,non_marketplace,<20k,<20k,307,medium,1,Другая мебель,Одеяло,121,92,0.3941,0.2997,11428.5,689.05,,,,,,,,,Кровать/каркас,Постельное белье,155,36,0.5049,0.1173,21022.09,3455.91,140x200,unknown,0.3411,0.4498,0.2512,0.3531,0.4492,0.5604,0.0859,0.1581
mattress,non_marketplace,non_marketplace,<20k,<20k,498,medium,1,Другая мебель,Одеяло,247,194,0.496,0.3896,16703.28,1215.7,,,,,,,,,Кровать/каркас,Постельное белье,258,72,0.5181,0.1446,22489.33,3834.85,160x200,unknown,0.4523,0.5398,0.3477,0.4331,0.4742,0.5617,0.1164,0.1782
mattress,non_marketplace,non_marketplace,<20k,<20k,102,low,1,Другая мебель,Одеяло,43,41,0.4216,0.402,15221.61,1502.4,,,,,,,,,Кровать/каркас,Одеяло,45,41,0.4412,0.402,28615.15,3737.67,180x200,unknown,0.3303,0.5185,0.312,0.499,0.3487,0.5379,0.312,0.499
mattress,non_marketplace,non_marketplace,<20k,<20k,206,low,1,Другая мебель,Наматрасник/топпер,85,61,0.4126,0.2961,13575.6,926.62,,,,,,,,,Кровать/каркас,Постельное белье,97,31,0.4709,0.1505,19408.93,3761.62,90x200,unknown,0.3476,0.4809,0.238,0.3617,0.4039,0.5389,0.1081,0.2057
mattress,non_marketplace,non_marketplace,<20k,<20k,6823,high,1,Одеяло,Наматрасник/топпер,1333,751,0.1954,0.1101,619.44,245.04,Четверг,Вечер (18-23),2025-06,52007.38,Понедельник,Вечер (18-23),2024-09,34351.33,Кровать/каркас,Основание/ламели,1912,474,0.2802,0.0695,18652.17,7023.64,unknown,unknown,0.1861,0.2049,0.1029,0.1177,0.2697,0.291,0.0637,0.0757
mattress,non_marketplace,non_marketplace,20-30k,20-30k,134,low,1,Наматрасник/топпер,Кровать/каркас,51,38,0.3806,0.2836,1856.04,8477.13,,,,,,,,,Другая мебель,Наматрасник/топпер,69,51,0.5149,0.3806,29145.6,4876.65,140x200,unknown,0.3028,0.465,0.2141,0.3651,0.4311,0.5979,0.3028,0.465
mattress,non_marketplace,non_marketplace,20-30k,20-30k,606,medium,1,Наматрасник/топпер,Кровать/каркас,286,152,0.4719,0.2508,2914.02,6951.13,,,,,,,,,Кровать/каркас,Наматрасник/топпер,152,286,0.2508,0.4719,27713.08,6174.46,160x200,unknown,0.4325,0.5117,0.218,0.2868,0.218,0.2868,0.4325,0.5117
mattress,non_marketplace,non_marketplace,20-30k,20-30k,91,low,1,Кровать/каркас,Одеяло,38,32,0.4176,0.3516,12358.09,1590.31,,,,,,,,,Кровать/каркас,Одеяло,38,32,0.4176,0.3516,29594.37,4522.46,180x200,unknown,0.3216,0.5202,0.2614,0.4539,0.3216,0.5202,0.2614,0.4539
