target,channel,price_bin,checks_in_segment,rank,item,checks_with_item,attach_rate,attach_revenue_sum,avg_attach_sum,segment_reliable,attach_rate_ci_low,attach_rate_ci_high
pillow,all,30k+,2360,3,Матрас,199,0.0843,22134832.35,111230.31,1,0.0738,0.0962
pillow,all,30k+,2360,4,Постельное белье,97,0.0411,3548001.86,36577.34,1,0.0338,0.0499
pillow,all,30k+,2360,5,Простыня,81,0.0343,745126.63,9199.09,1,0.0277,0.0425
pillow,all,30k+,2360,6,Наматрасник/топпер,52,0.022,1168271.94,22466.77,1,0.0168,0.0288
pillow,all,30k+,2360,7,Полотенце,51,0.0216,818001.28,16039.24,1,0.0165,0.0283
pillow,all,30k+,2360,8,Другая мебель,48,0.0203,1934109.26,40293.94,1,0.0154,0.0269
pillow,marketplace,0-1k,2445061,1,Одеяло,152032,0.0622,166915028.73,1097.89,1,0.0619,0.0625
pillow,marketplace,0-1k,2445061,2,Наволочка,138652,0.0567,134274840.35,968.43,1,0.0564,0.057
pillow,marketplace,0-1k,2445061,3,Косметика/гигиена,133662,0.0547,78558817.35,587.74,1,0.0544,0.055
pillow,marketplace,0-1k,2445061,4,Постельное белье,91147,0.0373,151059727.34,1657.32,1,0.037,0.0375
pillow,marketplace,0-1k,2445061,5,Детские товары,84180,0.0344,86782076.25,1030.91,1,0.0342,0.0347
pillow,marketplace,0-1k,2445061,6,Другая мебель,63183,0.0258,127638875.2,2020.15,1,0.0256,0.026
pillow,marketplace,0-1k,2445061,7,Полотенце,52349,0.0214,38769036.98,740.59,1,0.0212,0.0216
pillow,marketplace,0-1k,2445061,8,Простыня,45916,0.0188,42868792.8,933.64,1,0.0186,0.0189
pillow,marketplace,1-2k,3071300,1,Косметика/гигиена,134299,0.0437,96426092.35,718.0,1,0.0435,0.044
pillow,marketplace,1-2k,3071300,2,Одеяло,134247,0.0437,234970935.54,1750.29,1,0.0435,0.0439
pillow,marketplace,1-2k,3071300,3,Наволочка,130670,0.0425,177877922.32,1361.28,1,0.0423,0.0428
pillow,marketplace,1-2k,3071300,4,Детские товары,79350,0.0258,92503509.12,1165.77,1,0.0257,0.026
pillow,marketplace,1-2k,3071300,5,Постельное белье,71654,0.0233,156824137.08,2188.63,1,0.0232,0.0235
pillow,marketplace,1-2k,3071300,6,Другая мебель,58113,0.0189,149182403.84,2567.11,1,0.0188,0.0191
pillow,marketplace,1-2k,3071300,7,Наматрасник/топпер,45214,0.0147,72386184.72,1600.97,1,0.0146,0.0149
pillow,marketplace,1-2k,3071300,8,Простыня,45175,0.0147,55192289.35,1221.74,1,0.0146,0.0148
pillow,marketplace,2-3k,941484,1,Одеяло,44970,0.0478,108630778.33,2415.63,1,0.0473,0.0482
pillow,marketplace,2-3k,941484,2,Наволочка,42197,0.0448,73634814.51,1745.02,1,0.0444,0.0452
pillow,marketplace,2-3k,941484,3,Косметика/гигиена,40263,0.0428,33414528.43,829.91,1,0.0424,0.0432
pillow,marketplace,2-3k,941484,4,Детские товары,23682,0.0252,29840417.8,1260.05,1,0.0248,0.0255
pillow,marketplace,2-3k,941484,5,Постельное белье,21039,0.0223,58084698.79,2760.81,1,0.0221,0.0226
pillow,marketplace,2-3k,941484,6,Другая мебель,18582,0.0197,55316846.25,2976.9,1,0.0195,0.02
pillow,marketplace,2-3k,941484,7,Простыня,15079,0.016,22582481.64,1497.61,1,0.0158,0.0163
pillow,marketplace,2-3k,941484,8,Наматрасник/топпер,14651,0.0156,26507428.92,1809.26,1,0.0153,0.0158
pillow,marketplace,3-5k,517743,1,Одеяло,26665,0.0515,90418278.08,3390.9,1,0.0509,0.0521
pillow,marketplace,3-5k,517743,2,Наволочка,23448,0.0453,54346193.12,2317.73,1,0.0447,0.0459
pillow,marketplace,3-5k,517743,3,Косметика/гигиена,20996,0.0406,20617191.46,981.96,1,0.04,0.0411
pillow,marketplace,3-5k,517743,4,Детские товары,12560,0.0243,17868367.97,1422.64,1,0.0238,0.0247
pillow,marketplace,3-5k,517743,5,Постельное белье,10459,0.0202,38081774.12,3641.05,1,0.0198,0.0206
pillow,marketplace,3-5k,517743,6,Другая мебель,9605,0.0186,36039008.18,3752.11,1,0.0182,0.0189
pillow,marketplace,3-5k,517743,7,Простыня,8568,0.0165,15981934.93,1865.31,1,0.0162,0.0169
pillow,marketplace,3-5k,517743,8,Наматрасник/топпер,8023,0.0155,17357223.32,2163.43,1,0.0152,0.0158
pillow,marketplace,5-10k,170312,1,Одеяло,9237,0.0542,54384198.64,5887.65,1,0.0532,0.0553
pillow,marketplace,5-10k,170312,2,Наволочка,7196,0.0423,25610130.38,3558.94,1,0.0413,0.0432
pillow,marketplace,5-10k,170312,3,Косметика/гигиена,5643,0.0331,7059519.65,1251.02,1,0.0323,0.034
pillow,marketplace,5-10k,170312,4,Детские товары,3461,0.0203,6260299.1,1808.81,1,0.0197,0.021
pillow,marketplace,5-10k,170312,5,Постельное белье,2767,0.0162,14581952.15,5269.95,1,0.0157,0.0169
pillow,marketplace,5-10k,170312,6,Другая мебель,2715,0.0159,14412350.5,5308.42,1,0.0154,0.0165
