target,channel_view,price_bin,mattress_size,mattress_firmness,pillow_size,pillow_type,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_support_2,cross_sell_rate_2,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_2_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross_sell_top_3,cross_sell_support_3,cross_sell_rate_3,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,cross_sell_3_expected_value,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_support_2,upsell_rate_2,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_avg_sum_2,upsell_top_3,upsell_support_3,upsell_rate_3,upsell_rate_3_ci_low,upsell_rate_3_ci_high,upsell_avg_sum_3
pillow,all,2-3k,unknown,unknown,60x60,down,1084,medium,1,Косметика/гигиена,43,0.0397,0.0296,0.053,23.87,,,,,Одеяло,31,0.0286,0.0202,0.0403,70.73,,,,,Наволочка,52,0.048,0.0368,0.0624,926.62,Косметика/гигиена,43,0.0397,0.0296,0.053,601.83
pillow,all,2-3k,unknown,unknown,70x70,anatomic,26238,high,1,Наволочка,1636,0.0624,0.0595,0.0653,106.23,Понедельник,Вечер (18-23),2025-05,34547.2,Постельное белье,1272,0.0485,0.0459,0.0511,128.61,Понедельник,Ночь (00-05),2025-08,85665.44,Другая мебель,659,0.0251,0.0233,0.0271,3398.44,Постельное белье,1272,0.0485,0.0459,0.0511,2652.84
pillow,all,2-3k,unknown,unknown,70x70,down,110026,high,1,Наволочка,5904,0.0537,0.0523,0.055,96.82,Воскресенье,Вечер (18-23),2024-04,75757.41,Косметика/гигиена,3084,0.028,0.0271,0.029,21.79,Вторник,Ночь (00-05),2025-08,41728.36,Постельное белье,2385,0.0217,0.0208,0.0226,2446.78,Одеяло,6025,0.0548,0.0534,0.0561,2376.16
pillow,all,2-3k,unknown,unknown,70x70,memory,1751,medium,1,Косметика/гигиена,67,0.0383,0.0302,0.0483,25.25,,,,,Одеяло,53,0.0303,0.0232,0.0394,72.23,,,,,Постельное белье,43,0.0246,0.0183,0.0329,2230.36,Наволочка,67,0.0383,0.0302,0.0483,1765.5
pillow,all,2-3k,unknown,unknown,70x70,orthopedic,1439,medium,1,Одеяло,74,0.0514,0.0412,0.0641,136.22,,,,,Наволочка,74,0.0514,0.0412,0.0641,77.42,,,,,Постельное белье,61,0.0424,0.0331,0.0541,2417.65,Другая мебель,39,0.0271,0.0199,0.0368,1943.95
pillow,all,2-3k,unknown,unknown,70x70,synthetic,5681,high,1,Наволочка,356,0.0627,0.0567,0.0693,128.91,,,2024-02,23383.12,Косметика/гигиена,146,0.0257,0.0219,0.0301,19.05,,,,,Другая мебель,69,0.0121,0.0096,0.0153,2861.24,Постельное белье,101,0.0178,0.0147,0.0216,2741.68
pillow,all,2-3k,unknown,unknown,70x70,unknown,84504,high,1,Наволочка,6000,0.071,0.0693,0.0728,114.49,Пятница,Вечер (18-23),2025-06,47138.4,Косметика/гигиена,5311,0.0628,0.0612,0.0645,47.94,Пятница,Ночь (00-05),2025-08,78720.63,Другая мебель,3148,0.0373,0.036,0.0386,3351.81,Постельное белье,5311,0.0628,0.0612,0.0645,2570.67
pillow,all,2-3k,unknown,unknown,unknown,anatomic,18445,high,1,Одеяло,472,0.0256,0.0234,0.028,60.58,Воскресенье,День (12-17),2024-04,22855.62,Наволочка,468,0.0254,0.0232,0.0277,44.31,Понедельник,Вечер (18-23),2024-04,15091.07,Другая мебель,195,0.0106,0.0092,0.0122,4341.8,Одеяло,472,0.0256,0.0234,0.028,2367.34
pillow,all,2-3k,unknown,unknown,unknown,down,15207,high,1,Одеяло,636,0.0418,0.0388,0.0451,132.83,Воскресенье,Вечер (18-23),2024-09,54112.07,Косметика/гигиена,430,0.0283,0.0258,0.031,27.31,,,2025-08,17282.72,Одеяло,636,0.0418,0.0388,0.0451,3176.01,Постельное белье,167,0.011,0.0094,0.0128,3083.14
pillow,all,2-3k,unknown,unknown,unknown,memory,145949,high,1,Наволочка,2989,0.0205,0.0198,0.0212,32.4,Среда,Утро (06-11),2024-06,24591.06,Детские товары,2801,0.0192,0.0185,0.0199,23.6,Воскресенье,Ночь (00-05),2025-12,61211.62,Одеяло,2187,0.015,0.0144,0.0156,2396.62,Наволочка,2989,0.0205,0.0198,0.0212,1582.06
