target,channel_view,price_bin,mattress_size,mattress_firmness,pillow_size,pillow_type,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_support_2,cross_sell_rate_2,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_2_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross_sell_top_3,cross_sell_support_3,cross_sell_rate_3,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,cross_sell_3_expected_value,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_support_2,upsell_rate_2,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_avg_sum_2,upsell_top_3,upsell_support_3,upsell_rate_3,upsell_rate_3_ci_low,upsell_rate_3_ci_high,upsell_avg_sum_3
pillow,all,5-10k,unknown,unknown,40x60,down,157,low,1,Косметика/гигиена,5,0.0318,0.0137,0.0724,30.34,,,,,Наволочка,4,0.0255,0.01,0.0637,39.62,,,,,Постельное белье,2,0.0127,0.0035,0.0453,3842.5,Одежда для дома,1,0.0064,0.0011,0.0352,2416.0
pillow,all,5-10k,unknown,unknown,40x60,memory,4985,high,1,Наволочка,210,0.0421,0.0369,0.0481,113.25,,,,,Косметика/гигиена,131,0.0263,0.0222,0.0311,37.85,,,,,Другая мебель,67,0.0134,0.0106,0.017,5691.63,Одеяло,232,0.0465,0.041,0.0527,3929.01
pillow,all,5-10k,unknown,unknown,40x60,orthopedic,636,medium,1,Наволочка,38,0.0597,0.0438,0.0809,150.51,,,,,Простыня,32,0.0503,0.0359,0.0702,79.57,,,,,Наволочка,38,0.0597,0.0438,0.0809,2519.0,Простыня,32,0.0503,0.0359,0.0702,1581.51
pillow,all,5-10k,unknown,unknown,50x70,anatomic,5913,high,1,Наволочка,495,0.0837,0.0769,0.091,366.96,Воскресенье,День (12-17),2024-11,24637.73,Косметика/гигиена,313,0.0529,0.0475,0.0589,80.11,,,2025-08,31154.69,Постельное белье,253,0.0428,0.0379,0.0482,6197.82,Другая мебель,200,0.0338,0.0295,0.0387,5681.36
pillow,all,5-10k,unknown,unknown,50x70,down,25519,high,1,Наволочка,1081,0.0424,0.04,0.0449,176.24,Четверг,Вечер (18-23),2024-07,46648.6,Косметика/гигиена,721,0.0283,0.0263,0.0304,39.25,Понедельник,Утро (06-11),2025-07,19541.72,Другая мебель,323,0.0127,0.0114,0.0141,6004.09,Постельное белье,407,0.0159,0.0145,0.0176,5951.51
pillow,all,5-10k,unknown,unknown,50x70,memory,1750,high,1,Наволочка,127,0.0726,0.0613,0.0857,245.01,,,,,Простыня,55,0.0314,0.0242,0.0407,74.53,,,,,Другая мебель,49,0.028,0.0212,0.0368,8178.86,Постельное белье,30,0.0171,0.012,0.0244,8100.03
pillow,all,5-10k,unknown,unknown,50x70,orthopedic,1763,medium,1,Косметика/гигиена,95,0.0539,0.0443,0.0654,49.54,,,,,Одеяло,88,0.0499,0.0407,0.0611,284.68,,,,,Одеяло,88,0.0499,0.0407,0.0611,5703.32,Постельное белье,39,0.0221,0.0162,0.0301,4825.09
pillow,all,5-10k,unknown,unknown,50x70,synthetic,1135,medium,1,Наволочка,75,0.0661,0.053,0.082,503.02,,,,,Косметика/гигиена,34,0.03,0.0215,0.0416,47.31,,,,,Наматрасник/топпер,33,0.0291,0.0208,0.0406,7833.91,Наволочка,75,0.0661,0.053,0.082,7612.32
pillow,all,5-10k,unknown,unknown,50x70,unknown,21400,high,1,Наволочка,1243,0.0581,0.055,0.0613,265.67,Суббота,Вечер (18-23),2025-06,59579.06,Косметика/гигиена,810,0.0379,0.0354,0.0405,53.11,Среда,Вечер (18-23),2025-07,16718.77,Другая мебель,635,0.0297,0.0275,0.032,17086.64,Одеяло,2363,0.1104,0.1063,0.1147,6861.97
pillow,all,5-10k,unknown,unknown,70x70,anatomic,2609,high,1,Наволочка,220,0.0843,0.0743,0.0956,291.4,,,,,Косметика/гигиена,112,0.0429,0.0358,0.0514,49.39,,,,,Другая мебель,67,0.0257,0.0203,0.0325,8430.26,Постельное белье,111,0.0425,0.0354,0.051,4554.09
pillow,all,5-10k,unknown,unknown,70x70,down,19810,high,1,Наволочка,921,0.0465,0.0436,0.0495,153.12,Суббота,Вечер (18-23),2024-04,28873.12,Косметика/гигиена,507,0.0256,0.0235,0.0279,29.41,,,2025-11,21245.88,Другая мебель,267,0.0135,0.012,0.0152,5229.26,Постельное белье,341,0.0172,0.0155,0.0191,4822.77
pillow,all,5-10k,unknown,unknown,70x70,orthopedic,134,low,1,Одеяло,6,0.0448,0.0207,0.0942,244.53,,,,,Простыня,6,0.0448,0.0207,0.0942,87.1,,,,,Одеяло,6,0.0448,0.0207,0.0942,5461.2,Сумки/багаж,3,0.0224,0.0076,0.0638,5237.14
pillow,all,5-10k,unknown,unknown,70x70,synthetic,811,medium,1,Наволочка,74,0.0912,0.0733,0.113,373.09,,,,,Косметика/гигиена,25,0.0308,0.021,0.0451,66.4,,,,,Наволочка,74,0.0912,0.0733,0.113,4088.91,Наматрасник/топпер,22,0.0271,0.018,0.0407,3421.52
pillow,all,5-10k,unknown,unknown,70x70,unknown,8146,high,1,Наволочка,516,0.0633,0.0583,0.0688,218.3,,,2024-09,70118.88,Косметика/гигиена,340,0.0417,0.0376,0.0463,54.25,,,2025-07,17330.54,Другая мебель,216,0.0265,0.0232,0.0302,9951.57,Постельное белье,333,0.0409,0.0368,0.0454,5340.92
pillow,all,5-10k,unknown,unknown,unknown,anatomic,13714,high,1,Косметика/гигиена,298,0.0217,0.0194,0.0243,24.38,,,2024-01,4741.9,Наволочка,297,0.0217,0.0194,0.0242,62.05,,,2024-02,0,Наволочка,297,0.0217,0.0194,0.0242,2865.16,Детские товары,204,0.0149,0.013,0.017,2115.16
pillow,all,5-10k,unknown,unknown,unknown,down,6118,high,1,Наволочка,283,0.0463,0.0413,0.0518,135.01,,,,,Косметика/гигиена,144,0.0235,0.02,0.0276,31.7,,,,,Другая мебель,71,0.0116,0.0092,0.0146,14953.88,Одеяло,447,0.0731,0.0668,0.0799,9235.5
pillow,all,5-10k,unknown,unknown,unknown,memory,22138,high,1,Наволочка,490,0.0221,0.0203,0.0242,59.78,Суббота,День (12-17),2024-01,22467.6,Одеяло,430,0.0194,0.0177,0.0213,88.27,,,2024-11,45649.64,Другая мебель,261,0.0118,0.0105,0.0133,5106.78,Одеяло,430,0.0194,0.0177,0.0213,4544.65
pillow,all,5-10k,unknown,unknown,unknown,orthopedic,43262,high,1,Матрас,1819,0.042,0.0402,0.044,1253.69,Воскресенье,День (12-17),2025-03,851177,Наматрасник/топпер,1368,0.0316,0.03,0.0333,198.4,Воскресенье,День (12-17),2025-01,151002.98,Кровать/каркас,640,0.0148,0.0137,0.016,31726.09,Матрас,1819,0.042,0.0402,0.044,29816.98
pillow,all,5-10k,unknown,unknown,unknown,synthetic,151,low,1,Наволочка,10,0.0662,0.0364,0.1176,284.9,,,,,Покрывало,3,0.0199,0.0068,0.0568,281.57,,,,,Матрас,2,0.0132,0.0036,0.047,31581.78,Постельное белье,2,0.0132,0.0036,0.047,24060.5
pillow,all,5-10k,unknown,unknown,unknown,unknown,17362,high,1,Одеяло,1589,0.0915,0.0873,0.0959,830.84,Пятница,День (12-17),2024-09,223855.23,Наволочка,845,0.0487,0.0456,0.052,134.7,Понедельник,Вечер (18-23),2025-10,29576.83,Кровать/каркас,610,0.0351,0.0325,0.038,38369.24,Другая мебель,554,0.0319,0.0294,0.0346,28184.82
pillow,all,10-20k,unknown,unknown,40x60,memory,198,low,1,Наволочка,10,0.0505,0.0277,0.0905,99.34,,,,,Матрас,6,0.0303,0.014,0.0645,470.81,,,,,Кровать/каркас,2,0.0101,0.0028,0.0361,15021.27,Постельное белье,2,0.0101,0.0028,0.0361,7269.0
pillow,all,10-20k,unknown,unknown,50x70,anatomic,708,medium,1,Наволочка,56,0.0791,0.0614,0.1013,694.19,,,,,Косметика/гигиена,39,0.0551,0.0406,0.0744,102.58,,,,,Постельное белье,30,0.0424,0.0298,0.0598,10102.29,Наволочка,56,0.0791,0.0614,0.1013,8776.55
pillow,all,10-20k,unknown,unknown,50x70,down,5620,high,1,Наволочка,247,0.044,0.0389,0.0496,309.82,,,,,Косметика/гигиена,132,0.0235,0.0198,0.0278,43.15,,,,,Постельное белье,72,0.0128,0.0102,0.0161,10778.73,Другая мебель,66,0.0117,0.0092,0.0149,8035.06
pillow,all,10-20k,unknown,unknown,50x70,orthopedic,222,low,1,Наволочка,12,0.0541,0.0312,0.0921,366.9,,,,,Детские товары,11,0.0495,0.0279,0.0865,123.65,,,,,Одеяло,10,0.045,0.0246,0.0809,12232.23,Кухонный текстиль,4,0.018,0.007,0.0454,9039.0
pillow,all,10-20k,unknown,unknown,50x70,unknown,3656,high,1,Наволочка,201,0.055,0.048,0.0628,393.45,,,,,Постельное белье,136,0.0372,0.0315,0.0438,504.06,,,,,Кровать/каркас,44,0.012,0.009,0.0161,42229.24,Другая мебель,95,0.026,0.0213,0.0317,30890.29
pillow,all,10-20k,unknown,unknown,70x70,down,3689,high,1,Наволочка,156,0.0423,0.0363,0.0493,223.55,,,,,Косметика/гигиена,85,0.023,0.0187,0.0284,35.71,,,,,Постельное белье,48,0.013,0.0098,0.0172,9541.06,Другая мебель,45,0.0122,0.0091,0.0163,5750.11
pillow,all,10-20k,unknown,unknown,70x70,unknown,1134,medium,1,Наволочка,85,0.075,0.061,0.0918,677.87,,,,,Постельное белье,40,0.0353,0.026,0.0477,502.25,,,,,Одеяло,141,0.1243,0.1064,0.1448,11873.74,Наволочка,85,0.075,0.061,0.0918,9043.61
pillow,all,10-20k,unknown,unknown,unknown,anatomic,3565,high,1,Одеяло,127,0.0356,0.03,0.0422,474.86,,,,,Косметика/гигиена,76,0.0213,0.0171,0.0266,41.52,,,,,Одеяло,127,0.0356,0.03,0.0422,13329.67,Наволочка,385,0.108,0.0982,0.1186,4669.74
pillow,all,10-20k,unknown,unknown,unknown,down,1889,high,1,Наволочка,114,0.0603,0.0505,0.072,271.64,,,,,Матрас,72,0.0381,0.0304,0.0477,2033.73,,,,,Одеяло,204,0.108,0.0948,0.1228,17042.3,Постельное белье,44,0.0233,0.0174,0.0311,11021.2
pillow,all,10-20k,unknown,unknown,unknown,memory,2213,medium,1,Косметика/гигиена,50,0.0226,0.0172,0.0297,34.38,,,,,Детские товары,44,0.0199,0.0148,0.0266,65.96,,,,,Наволочка,33,0.0149,0.0106,0.0209,3848.81,Детские товары,44,0.0199,0.0148,0.0266,3317.51
pillow,all,10-20k,unknown,unknown,unknown,orthopedic,15074,high,1,Другая мебель,512,0.034,0.0312,0.037,1246.88,Суббота,День (12-17),2025-05,310439.24,Матрас,474,0.0314,0.0288,0.0344,1308.09,Суббота,День (12-17),2025-02,587395.76,Матрас,474,0.0314,0.0288,0.0344,41599.32,Другая мебель,512,0.034,0.0312,0.037,36709.97
pillow,all,10-20k,unknown,unknown,unknown,unknown,8094,high,1,Одеяло,1002,0.1238,0.1168,0.1311,1623.48,Понедельник,День (12-17),2024-12,135367.49,Кровать/каркас,515,0.0636,0.0585,0.0692,3409.14,Вторник,День (12-17),2024-04,1040797.64,Кровать/каркас,515,0.0636,0.0585,0.0692,53579.76,Другая мебель,253,0.0313,0.0277,0.0353,42825.96
pillow,all,30k+,unknown,unknown,unknown,unknown,632,medium,1,Матрас,158,0.25,0.2178,0.2852,28536.97,,,,,Наволочка,65,0.1028,0.0815,0.129,901.42,,,,,Кровать/каркас,40,0.0633,0.0468,0.085,78392.48,Одеяло,210,0.3323,0.2967,0.3699,34067.61
pillow,marketplace,0-1k,unknown,unknown,40x60,anatomic,807,medium,1,Косметика/гигиена,58,0.0719,0.056,0.0918,42.66,,,,,Наволочка,52,0.0644,0.0495,0.0835,50.56,,,,,Постельное белье,47,0.0582,0.0441,0.0766,1743.41,Одеяло,35,0.0434,0.0313,0.0597,1579.33
pillow,marketplace,0-1k,unknown,unknown,40x60,down,5150,high,1,Детские товары,190,0.0369,0.0321,0.0424,46.45,,,,,Косметика/гигиена,155,0.0301,0.0258,0.0351,17.8,,,,,Наматрасник/топпер,57,0.0111,0.0086,0.0143,1587.65,Постельное белье,94,0.0183,0.0149,0.0223,1526.95
pillow,marketplace,0-1k,unknown,unknown,40x60,memory,5228,medium,1,Подарки/сувениры,74,0.0142,0.0113,0.0177,4.39,Вторник,Вечер (18-23),2024-10,12900.64,Детские товары,57,0.0109,0.0084,0.0141,5.42,,,,,Детские товары,57,0.0109,0.0084,0.0141,496.81,Подарки/сувениры,74,0.0142,0.0113,0.0177,310.45
pillow,marketplace,0-1k,unknown,unknown,40x60,orthopedic,4660,high,1,Косметика/гигиена,124,0.0266,0.0224,0.0316,16.1,,,,,Наволочка,120,0.0258,0.0216,0.0307,19.03,,,,,Простыня,52,0.0112,0.0085,0.0146,888.33,Наволочка,120,0.0258,0.0216,0.0307,739.04
pillow,marketplace,0-1k,unknown,unknown,40x60,unknown,6437,high,1,Наволочка,521,0.0809,0.0745,0.0879,44.14,Четверг,Вечер (18-23),2024-03,6630.11,Косметика/гигиена,505,0.0785,0.0721,0.0853,47.87,,,2024-02,13803.07,Матрас,160,0.0249,0.0213,0.029,4366.02,Другая мебель,194,0.0301,0.0262,0.0346,1802.83
pillow,marketplace,0-1k,unknown,unknown,50x70,anatomic,72030,high,1,Косметика/гигиена,4000,0.0555,0.0539,0.0572,33.84,Среда,Ночь (00-05),2025-12,46982.98,Наволочка,3744,0.052,0.0504,0.0536,55.92,Вторник,Ночь (00-05),2024-11,25447.26,Другая мебель,1506,0.0209,0.0199,0.022,2293.91,Постельное белье,1830,0.0254,0.0243,0.0266,2051.65
pillow,marketplace,0-1k,unknown,unknown,50x70,down,226942,high,1,Одеяло,12251,0.054,0.0531,0.0549,67.68,Среда,Ночь (00-05),2024-01,109995.49,Косметика/гигиена,9151,0.0403,0.0395,0.0411,25.19,Пятница,Ночь (00-05),2024-03,86135.75,Другая мебель,3841,0.0169,0.0164,0.0175,2319.47,Постельное белье,5049,0.0222,0.0216,0.0229,1817.77
pillow,marketplace,0-1k,unknown,unknown,50x70,memory,3654,high,1,Наволочка,169,0.0463,0.0399,0.0536,36.56,,,,,Детские товары,131,0.0359,0.0303,0.0424,37.39,,,,,Постельное белье,87,0.0238,0.0193,0.0293,2146.27,Другая мебель,100,0.0274,0.0226,0.0332,1734.22
pillow,marketplace,0-1k,unknown,unknown,50x70,orthopedic,20141,high,1,Наволочка,805,0.04,0.0373,0.0428,32.11,Четверг,Ночь (00-05),2025-09,7956.28,Детские товары,760,0.0377,0.0352,0.0405,40.02,Суббота,Ночь (00-05),2025-09,24715.01,Постельное белье,580,0.0288,0.0266,0.0312,1985.94,Другая мебель,505,0.0251,0.023,0.0273,1966.47
pillow,marketplace,0-1k,unknown,unknown,50x70,synthetic,58544,high,1,Одеяло,2986,0.051,0.0493,0.0528,59.92,Среда,Вечер (18-23),2024-01,29324.75,Косметика/гигиена,1580,0.027,0.0257,0.0283,16.9,Пятница,Вечер (18-23),2024-02,9442.44,Другая мебель,607,0.0104,0.0096,0.0112,2548.26,Постельное белье,695,0.0119,0.011,0.0128,1542.52
pillow,marketplace,0-1k,unknown,unknown,50x70,unknown,790209,high,1,Наволочка,66424,0.0841,0.0834,0.0847,80.54,Суббота,Ночь (00-05),2025-09,309153.35,Косметика/гигиена,53279,0.0674,0.0669,0.068,41.3,Суббота,Ночь (00-05),2025-09,563350.9,Другая мебель,28102,0.0356,0.0352,0.036,2102.66,Постельное белье,40020,0.0506,0.0502,0.0511,1738.53
pillow,marketplace,0-1k,unknown,unknown,60x60,down,4739,high,1,Косметика/гигиена,139,0.0293,0.0249,0.0345,20.47,,,,,Детские товары,80,0.0169,0.0136,0.021,15.76,,,,,Одеяло,78,0.0165,0.0132,0.0205,1421.93,Детские товары,80,0.0169,0.0136,0.021,933.35
pillow,marketplace,0-1k,unknown,unknown,60x60,synthetic,348,low,1,Матрас,5,0.0144,0.0062,0.0332,38.66,,,,,Наволочка,4,0.0115,0.0045,0.0292,13.83,,,,,Освещение,2,0.0057,0.0016,0.0207,3347.0,Одеяло,2,0.0057,0.0016,0.0207,2757.0
pillow,marketplace,0-1k,unknown,unknown,60x60,unknown,391,medium,1,Детские товары,47,0.1202,0.0916,0.1562,132.19,,,,,Косметика/гигиена,35,0.0895,0.0651,0.1219,57.62,,,,,Косметика/гигиена,35,0.0895,0.0651,0.1219,643.67,Наволочка,49,0.1253,0.0961,0.1618,640.43
pillow,marketplace,0-1k,unknown,unknown,70x70,anatomic,14313,high,1,Косметика/гигиена,847,0.0592,0.0554,0.0632,32.61,Суббота,Ночь (00-05),2025-11,11191.46,Наволочка,663,0.0463,0.043,0.0499,44.27,Среда,Вечер (18-23),2025-11,14209.56,Другая мебель,381,0.0266,0.0241,0.0294,2014.89,Постельное белье,631,0.0441,0.0408,0.0476,1688.06
pillow,marketplace,0-1k,unknown,unknown,70x70,down,160406,high,1,Наволочка,7227,0.0451,0.0441,0.0461,48.04,Вторник,Вечер (18-23),2024-01,46508.29,Косметика/гигиена,5827,0.0363,0.0354,0.0373,20.32,Вторник,Ночь (00-05),2025-05,60839.43,Другая мебель,2492,0.0155,0.0149,0.0162,2031.79,Постельное белье,5217,0.0325,0.0317,0.0334,1608.81
pillow,marketplace,0-1k,unknown,unknown,70x70,memory,2135,high,1,Одеяло,108,0.0506,0.0421,0.0607,54.85,,,,,Постельное белье,108,0.0506,0.0421,0.0607,80.77,,,,,Другая мебель,70,0.0328,0.026,0.0412,2197.4,Постельное белье,108,0.0506,0.0421,0.0607,1596.7
pillow,marketplace,0-1k,unknown,unknown,70x70,orthopedic,1602,high,1,Одеяло,131,0.0818,0.0693,0.0962,94.75,,,,,Постельное белье,115,0.0718,0.0601,0.0855,129.33,,,,,Другая мебель,59,0.0368,0.0287,0.0472,2272.41,Постельное белье,115,0.0718,0.0601,0.0855,1801.63
pillow,marketplace,0-1k,unknown,unknown,70x70,synthetic,27674,high,1,Наволочка,1379,0.0498,0.0473,0.0525,55.22,Вторник,День (12-17),2024-05,23800.13,Косметика/гигиена,659,0.0238,0.0221,0.0257,12.46,Среда,Вечер (18-23),2024-01,4201.57,Наволочка,1379,0.0498,0.0473,0.0525,1108.23,Одеяло,1393,0.0503,0.0478,0.053,1074.81
pillow,marketplace,0-1k,unknown,unknown,70x70,unknown,418565,high,1,Постельное белье,30521,0.0729,0.0721,0.0737,110.76,Четверг,Ночь (00-05),2025-09,679144.89,Наволочка,27912,0.0667,0.0659,0.0674,62.55,Четверг,Вечер (18-23),2025-09,117371.71,Другая мебель,14315,0.0342,0.0337,0.0348,2008.79,Постельное белье,30521,0.0729,0.0721,0.0737,1518.97
pillow,marketplace,0-1k,unknown,unknown,unknown,anatomic,61427,high,1,Наволочка,1243,0.0202,0.0192,0.0214,19.96,Четверг,Вечер (18-23),2024-07,17192.56,Детские товары,1153,0.0188,0.0177,0.0199,22.94,Понедельник,Ночь (00-05),2024-05,33716.42,Одеяло,975,0.0159,0.0149,0.0169,1187.28,Наволочка,1243,0.0202,0.0192,0.0214,986.38
pillow,marketplace,0-1k,unknown,unknown,unknown,down,57312,high,1,Косметика/гигиена,1879,0.0328,0.0314,0.0343,17.84,Среда,Вечер (18-23),2024-01,14279.44,Одеяло,1782,0.0311,0.0297,0.0325,33.91,Воскресенье,Вечер (18-23),2024-05,25199.13,Постельное белье,574,0.01,0.0092,0.0109,1584.92,Одеяло,1782,0.0311,0.0297,0.0325,1090.46
pillow,marketplace,0-1k,unknown,unknown,unknown,memory,153858,high,1,Детские товары,3434,0.0223,0.0216,0.0231,17.89,Четверг,Ночь (00-05),2025-12,52831.88,Кухонный текстиль,3235,0.021,0.0203,0.0218,7.08,Суббота,Ночь (00-05),2025-05,9523.25,Сумки/багаж,2092,0.0136,0.013,0.0142,981.09,Одежда для дома,1987,0.0129,0.0124,0.0135,839.89
pillow,marketplace,0-1k,unknown,unknown,unknown,orthopedic,275903,high,1,Детские товары,5667,0.0205,0.02,0.0211,20.97,Четверг,Ночь (00-05),2025-08,147280.57,Другая мебель,3635,0.0132,0.0128,0.0136,21.03,Суббота,Ночь (00-05),2025-05,118886.75,Детские товары,5667,0.0205,0.02,0.0211,1020.78,Наволочка,3048,0.011,0.0107,0.0114,870.77
pillow,marketplace,0-1k,unknown,unknown,unknown,synthetic,849,medium,1,Наволочка,37,0.0436,0.0318,0.0595,37.71,,,,,Одеяло,36,0.0424,0.0308,0.0581,41.92,,,,,Детские товары,39,0.0459,0.0338,0.0622,974.37,Наволочка,37,0.0436,0.0318,0.0595,865.3
pillow,marketplace,0-1k,unknown,unknown,unknown,unknown,71355,high,1,Косметика/гигиена,5883,0.0824,0.0805,0.0845,47.86,Четверг,Ночь (00-05),2025-08,59905.52,Наволочка,3162,0.0443,0.0428,0.0458,41.25,Пятница,Ночь (00-05),2024-02,33404.23,Постельное белье,1679,0.0235,0.0224,0.0247,1756.15,Другая мебель,2606,0.0365,0.0352,0.0379,1442.04
pillow,marketplace,1-2k,unknown,unknown,40x60,anatomic,357,low,1,Наволочка,25,0.07,0.0479,0.1013,55.55,,,,,Детские товары,24,0.0672,0.0456,0.0981,156.7,,,,,Постельное белье,22,0.0616,0.041,0.0915,2206.86,Наволочка,25,0.07,0.0479,0.1013,793.32
pillow,marketplace,1-2k,unknown,unknown,40x60,down,2377,medium,1,Детские товары,88,0.037,0.0301,0.0454,42.22,,,,,Одеяло,75,0.0316,0.0252,0.0394,77.93,,,,,Постельное белье,37,0.0156,0.0113,0.0214,1655.07,Простыня,36,0.0151,0.011,0.0209,1613.38
pillow,marketplace,1-2k,unknown,unknown,40x60,memory,49532,high,1,Наволочка,761,0.0154,0.0143,0.0165,19.73,Среда,Вечер (18-23),2024-02,25450.05,Детские товары,659,0.0133,0.0123,0.0144,17.33,Четверг,Вечер (18-23),2024-02,8420.79,Детские товары,659,0.0133,0.0123,0.0144,1302.55,Наволочка,761,0.0154,0.0143,0.0165,1284.18
pillow,marketplace,1-2k,unknown,unknown,40x60,orthopedic,21146,high,1,Детские товары,721,0.0341,0.0317,0.0366,44.53,Четверг,Ночь (00-05),2025-08,46477.84,Наволочка,496,0.0235,0.0215,0.0256,24.8,,,2024-11,6111.29,Другая мебель,288,0.0136,0.0121,0.0153,2123.07,Постельное белье,249,0.0118,0.0104,0.0133,2114.3
pillow,marketplace,1-2k,unknown,unknown,40x60,unknown,3039,high,1,Косметика/гигиена,145,0.0477,0.0407,0.0559,35.48,,,,,Наволочка,110,0.0362,0.0301,0.0434,29.52,,,,,Другая мебель,74,0.0244,0.0194,0.0305,2607.83,Постельное белье,56,0.0184,0.0142,0.0239,2123.34
pillow,marketplace,1-2k,unknown,unknown,50x70,anatomic,117993,high,1,Наволочка,7843,0.0665,0.0651,0.0679,98.38,Суббота,Вечер (18-23),2024-04,55782.86,Косметика/гигиена,6657,0.0564,0.0551,0.0577,43.53,Пятница,Ночь (00-05),2025-08,82727,Другая мебель,3055,0.0259,0.025,0.0268,3014.2,Постельное белье,3995,0.0339,0.0328,0.0349,2706.31
pillow,marketplace,1-2k,unknown,unknown,50x70,down,272653,high,1,Одеяло,14837,0.0544,0.0536,0.0553,111.2,Воскресенье,Ночь (00-05),2024-01,130547.94,Косметика/гигиена,9350,0.0343,0.0336,0.035,26.0,Понедельник,Ночь (00-05),2024-03,90478.03,Постельное белье,4635,0.017,0.0165,0.0175,2541.8,Одеяло,14837,0.0544,0.0536,0.0553,2043.5
pillow,marketplace,1-2k,unknown,unknown,50x70,memory,41319,high,1,Косметика/гигиена,1341,0.0325,0.0308,0.0342,25.24,Среда,Вечер (18-23),2025-10,10216.9,Одеяло,1061,0.0257,0.0242,0.0272,53.15,Понедельник,Вечер (18-23),2024-10,15056.06,Наматрасник/топпер,429,0.0104,0.0094,0.0114,2368.56,Одеяло,1061,0.0257,0.0242,0.0272,2069.69
pillow,marketplace,1-2k,unknown,unknown,50x70,orthopedic,43591,high,1,Детские товары,2065,0.0474,0.0454,0.0494,59.68,Четверг,Ночь (00-05),2025-08,28860.99,Наволочка,1686,0.0387,0.0369,0.0405,42.81,Понедельник,Вечер (18-23),2025-08,21968.34,Постельное белье,1094,0.0251,0.0237,0.0266,2286.15,Другая мебель,963,0.0221,0.0208,0.0235,2279.77
pillow,marketplace,1-2k,unknown,unknown,50x70,synthetic,27476,high,1,Наволочка,1832,0.0667,0.0638,0.0697,99.05,Воскресенье,Вечер (18-23),2024-02,23658.57,Косметика/гигиена,890,0.0324,0.0304,0.0346,25.42,Воскресенье,Утро (06-11),2024-03,7415.61,Другая мебель,463,0.0169,0.0154,0.0184,2639.16,Постельное белье,661,0.0241,0.0223,0.0259,2354.56
pillow,marketplace,1-2k,unknown,unknown,50x70,unknown,404548,high,1,Наволочка,29450,0.0728,0.072,0.0736,103.31,Суббота,Ночь (00-05),2025-06,213147.41,Косметика/гигиена,22826,0.0564,0.0557,0.0571,41.66,Суббота,Ночь (00-05),2025-08,304167.75,Другая мебель,12163,0.0301,0.0295,0.0306,2592.38,Постельное белье,15777,0.039,0.0384,0.0396,2449.65
pillow,marketplace,1-2k,unknown,unknown,60x60,down,4573,high,1,Одеяло,118,0.0258,0.0216,0.0308,42.99,,,,,Косметика/гигиена,103,0.0225,0.0186,0.0272,14.92,,,,,Одеяло,118,0.0258,0.0216,0.0308,1666.15,Детские товары,53,0.0116,0.0089,0.0151,1211.28
pillow,marketplace,1-2k,unknown,unknown,60x60,unknown,434,medium,1,Косметика/гигиена,44,0.1014,0.0764,0.1334,54.25,,,,,Детские товары,30,0.0691,0.0488,0.097,82.14,,,,,Наволочка,57,0.1313,0.1028,0.1664,942.09,Косметика/гигиена,44,0.1014,0.0764,0.1334,535.06
pillow,marketplace,1-2k,unknown,unknown,70x70,anatomic,48102,high,1,Косметика/гигиена,3383,0.0703,0.0681,0.0726,47.25,Пятница,Ночь (00-05),2025-11,37593.35,Постельное белье,2914,0.0606,0.0585,0.0627,131.05,Воскресенье,Ночь (00-05),2025-08,118225.64,Другая мебель,1726,0.0359,0.0343,0.0376,2535.14,Постельное белье,2914,0.0606,0.0585,0.0627,2163.29
pillow,marketplace,1-2k,unknown,unknown,70x70,down,297084,high,1,Одеяло,13833,0.0466,0.0458,0.0473,80.65,Понедельник,Вечер (18-23),2024-01,152054.34,Косметика/гигиена,9108,0.0307,0.03,0.0313,20.4,Суббота,Ночь (00-05),2024-02,94925.62,Постельное белье,6668,0.0224,0.0219,0.023,1973.92,Одеяло,13833,0.0466,0.0458,0.0473,1732.09
pillow,marketplace,1-2k,unknown,unknown,70x70,memory,3189,high,1,Постельное белье,156,0.0489,0.042,0.057,90.89,,,,,Наволочка,148,0.0464,0.0396,0.0543,49.66,,,,,Другая мебель,85,0.0267,0.0216,0.0328,2590.21,Постельное белье,156,0.0489,0.042,0.057,1858.04
pillow,marketplace,1-2k,unknown,unknown,70x70,orthopedic,5333,high,1,Одеяло,228,0.0428,0.0376,0.0485,73.32,,,2025-08,26919.99,Детские товары,218,0.0409,0.0359,0.0465,52.01,,,,,Другая мебель,126,0.0236,0.0199,0.0281,2426.63,Постельное белье,190,0.0356,0.031,0.0409,2295.03
pillow,marketplace,1-2k,unknown,unknown,70x70,synthetic,20453,high,1,Наволочка,1148,0.0561,0.0531,0.0594,83.83,Пятница,Вечер (18-23),2024-02,23974.8,Постельное белье,525,0.0257,0.0236,0.0279,49.74,Четверг,Вечер (18-23),2025-05,18887.01,Постельное белье,525,0.0257,0.0236,0.0279,1937.7,Одеяло,1236,0.0604,0.0572,0.0638,1590.35
