target,channel_view,channel,pillow_price_bin,price_bin,checks_in_segment,confidence,segment_reliable,cross_sell_top_2,cross_sell_top_3,cross_sell_support_2,cross_sell_support_3,cross_sell_rate_2,cross_sell_rate_3,cross_sell_2_expected_value,cross_sell_3_expected_value,cross2_best_weekday,cross2_best_hour_bucket,cross2_best_month,cross2_best_opportunity_score,cross3_best_weekday,cross3_best_hour_bucket,cross3_best_month,cross3_best_opportunity_score,upsell_top_2,upsell_top_3,upsell_support_2,upsell_support_3,upsell_rate_2,upsell_rate_3,upsell_avg_sum_2,upsell_avg_sum_3,pillow_size,pillow_type,cross_sell_rate_2_ci_low,cross_sell_rate_2_ci_high,cross_sell_rate_3_ci_low,cross_sell_rate_3_ci_high,upsell_rate_2_ci_low,upsell_rate_2_ci_high,upsell_rate_3_ci_low,upsell_rate_3_ci_high
pillow,all,all,0-1k,0-1k,161011,high,1,Наволочка,Косметика/гигиена,7240,5859,0.045,0.0364,47.93,20.46,Вторник,Вечер (18-23),2024-01,46316.76,Вторник,Ночь (00-05),2025-10,60555.92,Другая мебель,Постельное белье,2496,5234,0.0155,0.0325,2046.01,1610.48,70x70,down,0.044,0.046,0.0355,0.0373,0.0149,0.0161,0.0317,0.0334
pillow,all,all,0-1k,0-1k,2135,high,1,Постельное белье,Одеяло,108,108,0.0506,0.0506,80.77,54.85,,,,,,,,,Другая мебель,Постельное белье,70,108,0.0328,0.0506,2197.4,1596.7,70x70,memory,0.0421,0.0607,0.0421,0.0607,0.026,0.0412,0.0421,0.0607
pillow,all,all,0-1k,0-1k,1608,high,1,Одеяло,Постельное белье,131,115,0.0815,0.0715,94.4,128.85,,,,,,,,,Другая мебель,Постельное белье,59,115,0.0367,0.0715,2272.41,1801.63,70x70,orthopedic,0.0691,0.0959,0.0599,0.0852,0.0286,0.047,0.0599,0.0852
pillow,all,all,0-1k,0-1k,27801,high,1,Наволочка,Косметика/гигиена,1383,662,0.0497,0.0238,55.1,12.48,Вторник,День (12-17),2024-05,24823.21,Среда,Вечер (18-23),2024-01,4129.79,Наволочка,Одеяло,1383,1405,0.0497,0.0505,1107.53,1077.81,70x70,synthetic,0.0473,0.0524,0.0221,0.0257,0.0473,0.0524,0.048,0.0532
pillow,all,all,0-1k,0-1k,421154,high,1,Постельное белье,Наволочка,30588,27998,0.0726,0.0665,110.44,62.3,Четверг,Ночь (00-05),2025-09,682821.66,Четверг,Вечер (18-23),2025-09,115931.72,Другая мебель,Постельное белье,14438,30588,0.0343,0.0726,2055.88,1520.61,70x70,unknown,0.0718,0.0734,0.0657,0.0672,0.0337,0.0348,0.0718,0.0734
pillow,all,all,0-1k,0-1k,62914,high,1,Наволочка,Детские товары,1294,1288,0.0206,0.0205,19.96,23.9,Четверг,Вечер (18-23),2024-07,15893.35,Понедельник,Ночь (00-05),2024-05,35450.61,Детские товары,Наволочка,1288,1294,0.0205,0.0206,1167.27,970.63,unknown,anatomic,0.0195,0.0217,0.0194,0.0216,0.0194,0.0216,0.0195,0.0217
pillow,all,all,0-1k,0-1k,58016,high,1,Косметика/гигиена,Одеяло,1924,1837,0.0332,0.0317,18.56,35.18,Среда,Вечер (18-23),2024-01,13277.69,Воскресенье,Вечер (18-23),2024-05,28122.41,Постельное белье,Одеяло,598,1837,0.0103,0.0317,1623.2,1110.98,unknown,down,0.0317,0.0347,0.0303,0.0331,0.0095,0.0112,0.0303,0.0331
pillow,all,all,0-1k,0-1k,156246,high,1,Детские товары,Кухонный текстиль,3547,3274,0.0227,0.021,18.27,7.05,Четверг,Ночь (00-05),2025-12,55788.38,Суббота,Ночь (00-05),2025-06,9378.39,Сумки/багаж,Одежда для дома,2103,2000,0.0135,0.0128,980.22,838.15,unknown,memory,0.022,0.0235,0.0203,0.0217,0.0129,0.014,0.0123,0.0134
pillow,all,all,0-1k,0-1k,280504,high,1,Детские товары,Другая мебель,5784,3869,0.0206,0.0138,20.86,29.81,Пятница,Ночь (00-05),2025-08,147657.98,Суббота,Ночь (00-05),2025-05,127573.32,Детские товары,Наволочка,5784,3122,0.0206,0.0111,1011.59,861.23,unknown,orthopedic,0.0201,0.0212,0.0134,0.0142,0.0201,0.0212,0.0107,0.0115
pillow,all,all,0-1k,0-1k,867,medium,1,Одеяло,Наволочка,38,38,0.0438,0.0438,43.94,37.22,,,,,,,,,Детские товары,Наволочка,41,38,0.0473,0.0438,937.47,849.21,unknown,synthetic,0.0321,0.0596,0.0321,0.0596,0.035,0.0635,0.0321,0.0596
