target,channel,price_bin,year_from,year_to,checks_from,checks_to,cross_sell_top_2_from,cross_sell_top_2_to,cross_sell_top_3_from,cross_sell_top_3_to,top_2_changed,top_3_changed,cross_sell_rate_2_from,cross_sell_rate_2_to,cross_sell_rate_2_delta,cross_sell_rate_3_from,cross_sell_rate_3_to,cross_sell_rate_3_delta,cross_sell_support_2_from,cross_sell_support_2_to,cross_sell_support_3_from,cross_sell_support_3_to,cross_sell_rate_2_ci_low_from,cross_sell_rate_2_ci_high_from,cross_sell_rate_2_ci_low_to,cross_sell_rate_2_ci_high_to
pillow,all,30k+,2024,2025,1231,1129,Наволочка,Наволочка,Матрас,Матрас,0,0,0.0869,0.085,-0.0019,0.0853,0.0833,-0.002,107,96,105,94,0.0724,0.104,0.0701,0.1027
pillow,marketplace,0-1k,2024,2025,1040680,1404381,Наволочка,Наволочка,Косметика/гигиена,Косметика/гигиена,0,0,0.0497,0.0619,0.0122,0.0458,0.0612,0.0154,51715,86937,47645,86017,0.0493,0.0501,0.0615,0.0623
pillow,marketplace,1-2k,2024,2025,1352009,1719291,Одеяло,Одеяло,Косметика/гигиена,Наволочка,0,1,0.0413,0.0456,0.0043,0.0368,0.0435,0.0067,55810,78437,49717,74778,0.0409,0.0416,0.0453,0.0459
pillow,marketplace,2-3k,2024,2025,439234,502250,Наволочка,Косметика/гигиена,Косметика/гигиена,Наволочка,1,1,0.0422,0.0511,0.0089,0.0332,0.0471,0.0139,18523,25681,14582,23674,0.0416,0.0428,0.0505,0.0517
pillow,marketplace,3-5k,2024,2025,241048,276695,Наволочка,Косметика/гигиена,Косметика/гигиена,Наволочка,1,1,0.0445,0.0474,0.0029,0.0327,0.046,0.0133,10721,13108,7888,12727,0.0437,0.0453,0.0466,0.0482
pillow,marketplace,5-10k,2024,2025,87017,83295,Наволочка,Наволочка,Косметика/гигиена,Косметика/гигиена,0,0,0.0409,0.0437,0.0028,0.0278,0.0387,0.0109,3560,3636,2421,3222,0.0396,0.0422,0.0423,0.0451
pillow,marketplace,10-20k,2024,2025,14900,14425,Наволочка,Наволочка,Косметика/гигиена,Косметика/гигиена,0,0,0.0397,0.0357,-0.004,0.0234,0.0287,0.0053,591,515,349,414,0.0366,0.0429,0.0328,0.0389
pillow,marketplace,20-30k,2024,2025,1665,1762,Наволочка,Наволочка,Полотенце,Косметика/гигиена,0,1,0.0468,0.0341,-0.0127,0.0204,0.0284,0.008,78,60,34,50,0.0377,0.0581,0.0265,0.0436
pillow,marketplace,30k+,2024,2025,746,607,Наволочка,Наволочка,Полотенце,Косметика/гигиена,0,1,0.063,0.0362,-0.0268,0.0362,0.0214,-0.0148,47,22,27,13,0.0477,0.0828,0.0241,0.0543
pillow,non_marketplace,0-1k,2024,2025,30967,17611,Косметика/гигиена,Косметика/гигиена,Другая мебель,Другая мебель,0,0,0.0713,0.086,0.0147,0.0448,0.0502,0.0054,2208,1515,1388,884,0.0685,0.0742,0.082,0.0903
pillow,non_marketplace,1-2k,2024,2025,26243,18477,Матрас,Косметика/гигиена,Косметика/гигиена,Матрас,1,1,0.067,0.0746,0.0076,0.0647,0.0621,-0.0026,1759,1379,1697,1147,0.0641,0.0701,0.0709,0.0785
pillow,non_marketplace,2-3k,2024,2025,11260,11362,Матрас,Матрас,Другая мебель,Другая мебель,0,0,0.1088,0.0865,-0.0223,0.051,0.0612,0.0102,1225,983,574,695,0.1032,0.1147,0.0815,0.0918
pillow,non_marketplace,3-5k,2024,2025,10966,10002,Одеяло,Матрас,Кровать/каркас,Другая мебель,1,1,0.1246,0.1131,-0.0115,0.0575,0.0703,0.0128,1366,1131,630,703,0.1185,0.1309,0.107,0.1194
pillow,non_marketplace,5-10k,2024,2025,12803,15088,Другая мебель,Матрас,Одеяло,Одеяло,1,0,0.0958,0.1334,0.0376,0.0937,0.0836,-0.0101,1227,2012,1200,1261,0.0909,0.1011,0.128,0.1389
pillow,non_marketplace,10-20k,2024,2025,9727,7864,Матрас,Одеяло,Одеяло,Наволочка,1,1,0.1142,0.0991,-0.0151,0.0975,0.0832,-0.0143,1111,779,948,654,0.108,0.1207,0.0927,0.1059
pillow,non_marketplace,20-30k,2024,2025,1243,1234,Матрас,Матрас,Наволочка,Наволочка,0,0,0.1561,0.1694,0.0133,0.1287,0.1321,0.0034,194,209,160,163,0.137,0.1773,0.1495,0.1913
pillow,non_marketplace,30k+,2024,2025,485,522,Матрас,Матрас,Наволочка,Наволочка,0,0,0.2041,0.1762,-0.0279,0.1237,0.1418,0.0181,99,92,60,74,0.1706,0.2423,0.146,0.2113
