target,month,checks_in_slice,rank,item,checks_with_item,attach_rate,attach_rate_ci_low,attach_rate_ci_high
mattress,2024-10,2711,1,Одеяло,537,0.1981,0.1835,0.2135
mattress,2024-10,2711,2,Кровать/каркас,476,0.1756,0.1617,0.1904
mattress,2024-10,2711,3,Наматрасник/топпер,331,0.1221,0.1103,0.135
mattress,2024-11,2908,1,Одеяло,587,0.2019,0.1877,0.2168
mattress,2024-11,2908,2,Кровать/каркас,454,0.1561,0.1434,0.1698
mattress,2024-11,2908,3,Наматрасник/топпер,416,0.1431,0.1308,0.1563
mattress,2024-12,3771,1,Одеяло,652,0.1729,0.1612,0.1853
mattress,2024-12,3771,2,Кровать/каркас,545,0.1445,0.1337,0.1561
mattress,2024-12,3771,3,Наматрасник/топпер,467,0.1238,0.1137,0.1347
mattress,2025-01,2321,1,Одеяло,389,0.1676,0.153,0.1833
mattress,2025-01,2321,2,Наматрасник/топпер,363,0.1564,0.1422,0.1717
mattress,2025-01,2321,3,Кровать/каркас,357,0.1538,0.1397,0.1691
mattress,2025-02,2512,1,Одеяло,457,0.1819,0.1673,0.1975
mattress,2025-02,2512,2,Кровать/каркас,374,0.1489,0.1355,0.1633
mattress,2025-02,2512,3,Наматрасник/топпер,371,0.1477,0.1344,0.1621
mattress,2025-03,2800,1,Одеяло,510,0.1821,0.1683,0.1969
mattress,2025-03,2800,2,Кровать/каркас,421,0.1504,0.1376,0.1641
mattress,2025-03,2800,3,Наматрасник/топпер,414,0.1479,0.1352,0.1615
mattress,2025-04,2703,1,Одеяло,496,0.1835,0.1694,0.1985
mattress,2025-04,2703,2,Кровать/каркас,408,0.1509,0.1379,0.1649
mattress,2025-04,2703,3,Наматрасник/топпер,374,0.1384,0.1259,0.1519
mattress,2025-05,9262,1,Одеяло,1329,0.1435,0.1365,0.1508
mattress,2025-05,9262,2,Детские товары,1309,0.1413,0.1344,0.1486
mattress,2025-05,9262,3,Косметика/гигиена,1193,0.1288,0.1221,0.1358
mattress,2025-06,10052,1,Детские товары,1597,0.1589,0.1519,0.1662
mattress,2025-06,10052,2,Одеяло,1453,0.1445,0.1378,0.1516
mattress,2025-06,10052,3,Косметика/гигиена,1327,0.132,0.1255,0.1388
mattress,2025-07,15549,1,Детские товары,2265,0.1457,0.1402,0.1513
mattress,2025-07,15549,2,Косметика/гигиена,2124,0.1366,0.1313,0.1421
mattress,2025-07,15549,3,Одеяло,2007,0.1291,0.1239,0.1344
mattress,2025-08,13108,1,Одеяло,2076,0.1584,0.1522,0.1647
mattress,2025-08,13108,2,Детские товары,1988,0.1517,0.1456,0.1579
mattress,2025-08,13108,3,Косметика/гигиена,1806,0.1378,0.132,0.1438
mattress,2025-09,10795,1,Одеяло,1671,0.1548,0.1481,0.1617
mattress,2025-09,10795,2,Детские товары,1493,0.1383,0.1319,0.1449
mattress,2025-09,10795,3,Косметика/гигиена,1332,0.1234,0.1173,0.1297
mattress,2025-10,9455,1,Одеяло,1579,0.167,0.1596,0.1747
mattress,2025-10,9455,2,Детские товары,1169,0.1236,0.1172,0.1304
mattress,2025-10,9455,3,Косметика/гигиена,1084,0.1146,0.1084,0.1212
mattress,2025-11,7687,1,Одеяло,1349,0.1755,0.1672,0.1842
mattress,2025-11,7687,2,Детские товары,862,0.1121,0.1053,0.1194
mattress,2025-11,7687,3,Наволочка,849,0.1104,0.1036,0.1176
mattress,2025-12,6394,1,Одеяло,1206,0.1886,0.1792,0.1984
mattress,2025-12,6394,2,Кровать/каркас,716,0.112,0.1045,0.1199
mattress,2025-12,6394,3,Постельное белье,699,0.1093,0.1019,0.1172
