target,channel,price_bin,checks_in_segment,rank,brand,checks_with_brand,brand_penetration,brand_penetration_ci_low,brand_penetration_ci_high
pillow,marketplace,10-20k,29325,4,kariguz,661,0.0225,0.0209,0.0243
pillow,marketplace,10-20k,29325,5,medsleep,492,0.0168,0.0154,0.0183
pillow,marketplace,20-30k,3427,1,kanuda,364,0.1062,0.0963,0.117
pillow,marketplace,20-30k,3427,2,togas,352,0.1027,0.093,0.1133
pillow,marketplace,20-30k,3427,3,askona,228,0.0665,0.0587,0.0754
pillow,marketplace,20-30k,3427,4,tempur,226,0.0659,0.0581,0.0748
pillow,marketplace,20-30k,3427,5,kariguz,82,0.0239,0.0193,0.0296
pillow,marketplace,30k+,1353,1,togas,230,0.17,0.1509,0.1909
pillow,marketplace,30k+,1353,2,muehldorfer,83,0.0613,0.0498,0.0754
pillow,marketplace,30k+,1353,3,askona,69,0.051,0.0405,0.064
pillow,marketplace,30k+,1353,4,kanuda,53,0.0392,0.0301,0.0509
pillow,marketplace,30k+,1353,5,kariguz,49,0.0362,0.0275,0.0476
pillow,non_marketplace,0-1k,48578,1,askona buyson,2648,0.0545,0.0525,0.0566
pillow,non_marketplace,0-1k,48578,2,ol-tex,834,0.0172,0.0161,0.0184
pillow,non_marketplace,0-1k,48578,3,askona,391,0.008,0.0073,0.0089
pillow,non_marketplace,0-1k,48578,4,galtex,328,0.0068,0.0061,0.0075
pillow,non_marketplace,0-1k,48578,5,trelax,148,0.003,0.0026,0.0036
pillow,non_marketplace,1-2k,44720,1,askona buyson,588,0.0131,0.0121,0.0142
pillow,non_marketplace,1-2k,44720,2,askona,324,0.0072,0.0065,0.0081
pillow,non_marketplace,1-2k,44720,3,medsleep,190,0.0042,0.0037,0.0049
pillow,non_marketplace,1-2k,44720,4,kariguz,143,0.0032,0.0027,0.0038
pillow,non_marketplace,1-2k,44720,5,raiton,123,0.0028,0.0023,0.0033
pillow,non_marketplace,2-3k,22622,1,askona buyson,237,0.0105,0.0092,0.0119
pillow,non_marketplace,2-3k,22622,2,trelax,236,0.0104,0.0092,0.0118
pillow,non_marketplace,2-3k,22622,3,askona,124,0.0055,0.0046,0.0065
